,kcat,data_type,MW,kcat_MW
rxn01602_c_reverse,23.735,Other_species,43214.1362,1977.2696509435261
rxn03068_c_reverse,0.51,Other_species,35895.7825,51.14807011102209
rxn01649_c_reverse,27.884,Other_species,57803.2118,1736.623223417492
rxn00085_c_reverse,23.6,Other_species,569609.0614,149.15493056094138
rxn00119_c_reverse,170.79666666666668,Other_species,157018.5204,3915.8947519925805
rxn01674_c_reverse,5.2,Other_species,76254.525,245.49362808305477
rxn05740_c_reverse,1142.7105161621917,fill,247958.924,16590.481164468554
rxn03904_c_reverse,5.3149999999999995,Other_species,72801.2976,262.8249856909144
rxn01679_c_reverse,5.2,Other_species,76254.525,245.49362808305477
rxn01171_c_reverse,7262.9,Other_species,76909.065,339965.6464423277
rxn10199_c_reverse,1142.7105161621917,fill,147835.218,27826.643162821256
rxn00409_c_reverse,890.0,Other_species,16903.2791,189549.02069859332
rxn00840_c_reverse,561.2830769230769,Other_species,103433.032,19535.52978049678
rxn01985_c_reverse,20.332,Other_species,57803.2118,1266.2825770522322
rxn00946_c_reverse,92.11603090909091,Other_species,41063.8695,8075.6566614533795
rxn00193_c_reverse,15.7827,Other_species,58722.0964,967.5696796138225
rxn00653_c_reverse,240.0,Other_species,162478.1243,5317.638935840423
rxn03251_c_reverse,0.77577,Other_species,41063.8695,68.01044407176484
rxn00929_c_reverse,212.8,Other_species,28013.1376,27347.168708442
rxn08942_c_reverse,1142.7105161621917,fill,247958.924,16590.481164468554
rxn00347_c_reverse,52.001375,Other_species,98597.6468,1898.6756385751794
rxn10770_c_reverse_num1,4.696068478873239,Other_species,231000.13989999998,73.18543846450572
rxn01799_c_reverse,27.884,Other_species,57803.2118,1736.623223417492
rxn00897_c_reverse,22.7619,Other_species,44880.0987,1825.8168402824836
rxn01485_c_reverse,1.5664,Other_species,47105.2952,119.71138225665976
rxn00239_c_reverse_num1,334.64,Other_species,22278.8922,54073.78379433067
