Reaction_ID,data_type,kcat,MW,kcat_MW
rxn08073_c0_reverse_num1,DLkcat,19.5122,27386.5376,2564.906927
rxn06865_c0_reverse_num13,DLkcat,19.379,21612.2209,1614.003492
rxn06848_c0_reverse_num19,DLkcat,19.3142,16680.9247,4168.301293
rxn08076_c0_reverse_num1,DLkcat,19.0206,27386.5376,2500.285396
rxn01132_c0,DLkcat,18.946,72261.9442,275.0681399
rxn08936_c0,DLkcat,18.8725,63856.5077,531.9818014
rxn01636_c0_reverse,DLkcat,18.5988,42578.196,786.2672247
rxn01208_c0_reverse_num2,DLkcat,18.514,42552.3208,1566.316449
rxn01790_c0_reverse,DLkcat,18.3478,33491.3901,986.1053812
rxn08535_c0_reverse_num4,DLkcat,18.3478,15137.1643,2181.785131
rxn10259_c0_reverse,DLkcat,18.2339,19647.4776,1670.495352
rxn05394_c0_reverse,DLkcat,18.2138,16026.5332,4091.320261
rxn12640_c0_reverse_num1,DLkcat,18.1027,26711.8884,2439.727174
rxn01790_c0,DLkcat,18.0564,33491.3901,970.4440426
rxn03135_c0_reverse_num1,DLkcat,18.0564,27213.7841,2388.607176
rxn08941_c0_reverse,DLkcat,17.9461,72261.9442,260.551058
rxn06077_c0,DLkcat,17.9461,36177.1413,1785.822696
rxn09989_c0,DLkcat,17.7359,63856.5077,499.9430935
rxn05170_c0_num2,DLkcat,17.7061,32131.8647,316.7253714
rxn02201_c0_num1,DLkcat,17.7061,43214.1362,1475.025665
rxn02933_c0_reverse,DLkcat,17.5041,31543.3946,1997.716504
rxn03249_c0_reverse,DLkcat,17.5041,31543.3946,1997.716504
rxn01286_c0,DLkcat,17.4512,54001.7695,386.6632525
rxn01100_c0,DLkcat,17.3688,42119.704,1484.523253
rxn01300_c0,DLkcat,17.3688,36215.2523,457.6363293
rxn00727_c0,DLkcat,17.3688,53536.4506,419.6515623
rxn06937_c0_num2,DLkcat,17.3107,54377.4674,1146.03572
rxn05617_c0_num2,DLkcat,17.3107,61321.1902,508.132016
rxn08311_c0,DLkcat,17.2724,31518.5888,1972.824367
rxn09996_c0_reverse,DLkcat,16.9928,28960.6729,1056.15778
rxn08890_c0_reverse,DLkcat,16.9928,28676.7342,176.4566469
rxn02811_c0_reverse_num1,DLkcat,16.9928,44508.9581,1374.421748
rxn01358_c0,DLkcat,16.965,28901.6059,1056.584887
rxn12641_c0_reverse_num1,DLkcat,16.9109,26711.8884,2279.106557
rxn02005_c0_reverse,DLkcat,16.8409,62216.1267,323.8998876
rxn08076_c0_reverse_num3,DLkcat,16.8206,193068.7376,156.8202101
rxn05560_c0_reverse_num4,DLkcat,16.8206,71245.7029,212.4835518
rxn02186_c0,DLkcat,78.3,35895.7825,7852.733117
rxn04750_c0,DLkcat,16.7134,31543.3946,1907.475107
