metname,inchikey
dhlam,VLYUGYAKYZETRF-SSDOTTSWSA-N
dhna,VOJUXHHACRXLTD-UHFFFAOYSA-M
dhnpt,YQIFAMYNGGOTFB-XINAWCOVSA-N
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M
dhpt,WBFYVDCHGVNRBH-UHFFFAOYSA-M
dhptd,UYTRITJAZOPLCZ-BYPYZUCNSA-N
dimp,PHNGFPPXDJJADG-RRKCRQDMSA-L
din,VGONTNSXDCQUGY-RRKCRQDMSA-N
ditp,UFJPAQSLHAGEBL-RRKCRQDMSA-J
dma,ROSDSFDQCJNGOL-UHFFFAOYSA-O
dmbzid,LJUQGASMPRMWIW-UHFFFAOYSA-N
dmlz,SXDXRJZUAJBNFL-XKSSXDPKSA-M
dmpp,CBIDRCWHNCKSTO-UHFFFAOYSA-K
dms,QMMFVYPAHWMCMS-UHFFFAOYSA-N
dnad,SENPVEZBRZQVST-HISDBWNOSA-L
dpcoa,KDTSHFARGAKYJN-IBOSZNHHSA-L
dscl,OQIIYZQTTMKFAU-ZNLOQLQNSA-G
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K
dtdp4addg,UIVJXHWSIFBBCY-WDQPOOCWSA-M
dtdp4d6dg,PSXWNITXWWECNY-UCBTUHGZSA-L
dtdp4d6dm,PSXWNITXWWECNY-LPVGZGSHSA-L
dtdpglu,YSYKRGRSMLTJNL-URARBOGNSA-L
dtdprmn,ZOSQFDVXNQFKBY-CGAXJHMRSA-L
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L
dttp,NHVNXKFIZYSCEB-XLPZGREQSA-J
dudp,QHWZTVCCBMIIKE-SHYZEUOFSA-K
dump,JSRLJPSBLDHEIO-SHYZEUOFSA-L
duri,MXHRCPNRJAMMIM-SHYZEUOFSA-N
dutp,AHCYMLUZIRLXAA-SHYZEUOFSA-J
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
eig3p,HFYBTHCYPKEDQQ-RITPCOANSA-L
enter,SERBHKJMVBATSJ-BZSNNMDCSA-M
etha,HZAXFHJVJLSVMW-UHFFFAOYSA-O
etoh,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
f1p,RHKKZBWRNHGJEZ-VRPWFDPXSA-L
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
fad,IMGVNJNCCGXBHD-UYBVJOGSSA-K
fadh2,YPZRHBJKEMOYQH-UYBVJOGSSA-L
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N
fdp,RNBGYGVWRKECFJ-VRPWFDPXSA-J
fdxox,NA
fdxrd,NA
fe2,CWYNVVGOOAEACU-UHFFFAOYSA-N
